parasitic_spacing,parasitic_detune,gain_max_dbi,gain_max_theta,front_to_back_db,swr_50,impedance_real,impedance_imag,warnings
2.116,-15,0.64,-65,3.16,1.6421,40.517,-20.463,""
2.116,-12.5,0.55,-65,3.02,1.6595,39.887,-20.505,""
2.116,-10,0.42,-65,2.85,1.6814,39.051,-20.476,""
2.116,-7.5,0.28,-60,3.22,1.7079,37.925,-20.263,""
2.116,-5,0.15,-60,3.2,1.7359,36.437,-19.606,""
2.116,-2.5,0.13,-60,3.71,1.7488,34.723,-17.978,""
2.116,0,0.49,-60,5.88,1.6974,33.737,-14.794,""
2.116,2.5,1.23,-60,11.47,1.5448,35.257,-11.018,""
2.116,5,1.79,-65,17.64,1.3923,38.757,-9.3679,""
2.116,7.5,1.97,-65,13.87,1.3292,41.62,-9.9707,""
2.116,10,1.97,-65,11.02,1.3259,43.165,-11.231,""
2.116,12.5,1.92,-65,9.48,1.3415,43.874,-12.377,""
2.116,15,1.86,-65,8.56,1.3597,44.165,-13.27,""
2.646,-15,0.68,-65,3.1,1.6231,40.786,-20.073,""
2.646,-12.5,0.6,-65,2.95,1.6353,40.21,-20.009,""
2.646,-10,0.5,-65,2.79,1.6497,39.458,-19.842,""
2.646,-7.5,0.41,-60,3.26,1.6654,38.472,-19.455,""
2.646,-5,0.35,-60,3.29,1.677,37.23,-18.594,""
2.646,-2.5,0.45,-60,3.93,1.6667,35.955,-16.797,""
2.646,0,0.91,-60,6.17,1.5936,35.631,-13.693,""
2.646,2.5,1.64,-65,11.01,1.447,37.737,-10.495,""
2.646,5,2.09,-65,16.53,1.3298,41.281,-9.6331,""
2.646,7.5,2.18,-65,13.86,1.302,43.814,-10.733,""
2.646,10,2.12,-65,11.16,1.3189,45.008,-12.19,""
2.646,12.5,2.04,-65,9.62,1.3437,45.454,-13.385,""
2.646,15,1.96,-65,8.67,1.3659,45.563,-14.268,""
3.175,-15,0.75,-65,3.11,1.6035,41.081,-19.672,""
3.175,-12.5,0.69,-65,2.98,1.6105,40.574,-19.509,""
3.175,-10,0.63,-65,2.87,1.6176,39.927,-19.218,""
3.175,-7.5,0.57,-65,2.8,1.6229,39.111,-18.68,""
3.175,-5,0.58,-65,2.95,1.6196,38.155,-17.662,""
3.175,-2.5,0.78,-60,4.25,1.5902,37.35,-15.783,""
3.175,0,1.32,-65,6.09,1.5042,37.671,-12.897,""
3.175,2.5,1.99,-65,10.94,1.3729,40.232,-10.407,""
3.175,5,2.31,-65,15.68,1.2959,43.637,-10.341,""
3.175,7.5,2.32,-65,13.67,1.3007,45.723,-11.858,""
3.175,10,2.21,-65,11.07,1.332,46.518,-13.428,""
3.175,12.5,2.1,-65,9.57,1.3618,46.687,-14.608,""
3.175,15,2.01,-65,8.68,1.3853,46.614,-15.438,""
3.704,-15,0.84,-65,3.18,1.5843,41.423,-19.306,""
3.704,-12.5,0.81,-65,3.08,1.5863,41.001,-19.059,""
3.704,-10,0.78,-65,3,1.5868,40.479,-18.668,""
3.704,-7.5,0.78,-65,2.99,1.5828,39.856,-18.019,""
3.704,-5,0.86,-65,3.23,1.5672,39.204,-16.906,""
3.704,-2.5,1.14,-65,4.11,1.5241,38.868,-15.046,""
3.704,0,1.69,-65,6.44,1.4341,39.763,-12.507,""
3.704,2.5,2.25,-65,10.9,1.3266,42.605,-10.799,""
3.704,5,2.45,-65,14.98,1.2911,45.696,-11.464,""
3.704,7.5,2.39,-65,13.37,1.3205,47.258,-13.279,""
3.704,10,2.25,-65,11.05,1.3596,47.645,-14.866,""
3.704,12.5,2.12,-65,9.57,1.3907,47.551,-15.969,""
3.704,15,2.01,-65,8.62,1.4136,47.312,-16.706,""
4.233,-15,0.94,-65,3.28,1.5665,41.812,-19.006,""
4.233,-12.5,0.94,-65,3.22,1.5641,41.487,-18.697,""
4.233,-10,0.95,-65,3.18,1.5588,41.103,-18.237,""
4.233,-7.5,0.99,-65,3.23,1.5474,40.682,-17.523,""
4.233,-5,1.13,-65,3.54,1.5227,40.337,-16.386,""
4.233,-2.5,1.45,-65,4.48,1.4719,40.438,-14.643,""
4.233,0,1.97,-65,6.73,1.3863,41.796,-12.556,""
4.233,2.5,2.42,-65,10.83,1.3093,44.726,-11.646,""
4.233,5,2.53,-65,14.37,1.3103,47.357,-12.925,""
4.233,7.5,2.4,-65,12.99,1.3548,48.361,-14.899,""
4.233,10,2.23,-65,10.84,1.3963,48.361,-16.409,""
4.233,12.5,2.08,-65,9.34,1.4262,48.037,-17.381,""
4.233,15,1.96,-65,8.42,1.4471,47.663,-17.993,""
4.762,-15,1.05,-65,3.4,1.5511,42.235,-18.795,""
4.762,-12.5,1.07,-65,3.37,1.5452,42.012,-18.448,""
4.762,-10,1.11,-65,3.37,1.5355,41.77,-17.953,""
4.762,-7.5,1.19,-65,3.47,1.5186,41.552,-17.222,""
4.762,-5,1.37,-65,3.84,1.4883,41.495,-16.128,""
4.762,-2.5,1.71,-65,4.81,1.4355,41.976,-14.591,""
