regime,spacing_frac,driven_radial_span,parasitic_radial_span,gain_max_dbi,gain_max_theta,front_to_back_db,swr_50,impedance_real,impedance_imag,warnings
driven_sweep,0.1,30,180,2.06,-65,19.15,1.5539,35.087,11.136,""
parasitic_sweep,0.1,90,30,1.53,-65,11.89,1.3546,43.22,-12.433,""
coordinated_sweep,0.1,30,30,1.38,-65,13.14,1.1271,51.211,5.9349,""
driven_sweep,0.1,60,180,2.24,-65,17.06,1.6328,30.622,-0.1084,""
parasitic_sweep,0.1,90,60,1.63,-65,14.38,1.3543,41.466,-10.924,""
coordinated_sweep,0.1,60,60,1.54,-65,15.32,1.1123,46.207,-3.4384,""
driven_sweep,0.1,90,180,2.53,-65,14.45,2.0802,24.934,-8.428,""
parasitic_sweep,0.1,90,90,1.79,-65,17.64,1.3923,38.757,-9.3679,""
coordinated_sweep,0.1,90,90,1.79,-65,17.64,1.3923,38.757,-9.3679,""
driven_sweep,0.1,120,180,2.8,-65,11.73,2.8271,19.312,-14.087,""
parasitic_sweep,0.1,90,120,1.99,-65,19.14,1.4993,35.027,-8.1891,""
coordinated_sweep,0.1,120,120,2.03,-65,15.2,1.862,29.548,-13.088,""
driven_sweep,0.1,150,180,3.05,-65,9.31,3.9382,14.368,-17.47,""
parasitic_sweep,0.1,90,150,2.23,-65,17.04,1.7098,30.34,-7.7744,""
coordinated_sweep,0.1,150,150,2.37,-65,10.48,2.9272,19.196,-16.4,""
driven_sweep,0.1,180,180,3.47,-70,7.76,5.207,10.868,-17.769,""
parasitic_sweep,0.1,90,180,2.53,-65,14.45,2.0802,24.934,-8.428,""
coordinated_sweep,0.1,180,180,3.47,-70,7.76,5.207,10.868,-17.769,""
driven_sweep,0.175,30,180,3.27,-65,18.8,1.3118,47.577,13.055,""
parasitic_sweep,0.175,90,30,1.95,-65,11.43,1.3766,46.818,-15.201,""
coordinated_sweep,0.175,30,30,1.74,-65,13.16,1.1066,53.966,3.4584,""
driven_sweep,0.175,60,180,3.41,-65,17.09,1.1504,43.827,2.2362,""
parasitic_sweep,0.175,90,60,2.16,-65,13.2,1.335,46.488,-13.529,""
coordinated_sweep,0.175,60,60,2.04,-65,14.38,1.1274,50.502,-6.0066,""
driven_sweep,0.175,90,180,3.6,-65,15.05,1.3119,39.157,-5.2536,""
parasitic_sweep,0.175,90,90,2.45,-65,14.98,1.2911,45.696,-11.464,""
coordinated_sweep,0.175,90,90,2.45,-65,14.98,1.2911,45.696,-11.464,""
driven_sweep,0.175,120,180,3.71,-65,12.96,1.5356,34.773,-9.6382,""
parasitic_sweep,0.175,90,120,2.81,-65,15.95,1.2591,44.26,-9.2241,""
coordinated_sweep,0.175,120,120,2.85,-65,13.58,1.4452,40.211,-13.412,""
driven_sweep,0.175,150,180,3.68,-70,10.56,1.7436,31.017,-11.466,""
parasitic_sweep,0.175,90,150,3.21,-65,15.81,1.2596,42.08,-7.0576,""
coordinated_sweep,0.175,150,150,3.2,-65,11.32,1.6376,34.057,-12.983,""
driven_sweep,0.175,180,180,3.6,-70,9.06,1.9064,28.055,-11.087,""
parasitic_sweep,0.175,90,180,3.6,-65,15.05,1.3119,39.157,-5.2536,""
coordinated_sweep,0.175,180,180,3.6,-70,9.06,1.9064,28.055,-11.087,""
driven_sweep,0.25,30,180,3.37,-65,17.17,1.2109,56.088,8.12,""
parasitic_sweep,0.25,90,30,1.92,-65,10.39,1.4729,47.998,-18.985,""
coordinated_sweep,0.25,30,30,1.67,-65,10.82,1.0956,54.776,0.195,""
driven_sweep,0.25,60,180,3.5,-65,15.89,1.0806,52.824,-2.8094,""
parasitic_sweep,0.25,90,60,2.16,-65,11.77,1.436,48.659,-17.895,""
coordinated_sweep,0.25,60,60,2.02,-65,12.96,1.2231,52.289,-10.057,""
driven_sweep,0.25,90,180,3.67,-65,14.3,1.2336,48.942,-10.35,""
parasitic_sweep,0.25,90,90,2.48,-65,13.14,1.3902,49.267,-16.408,""
coordinated_sweep,0.25,90,90,2.48,-65,13.14,1.3902,49.267,-16.408,""
driven_sweep,0.25,120,180,3.73,-65,12.59,1.3757,45.679,-14.687,""
parasitic_sweep,0.25,90,120,2.87,-65,14.13,1.3385,49.625,-14.569,""
coordinated_sweep,0.25,120,120,2.92,-65,12.32,1.487,46.576,-18.966,""
driven_sweep,0.25,150,180,3.64,-65,10.95,1.4557,43.376,-16.293,""
parasitic_sweep,0.25,90,150,3.28,-65,14.46,1.2844,49.564,-12.485,""
coordinated_sweep,0.25,150,150,3.23,-65,10.9,1.5032,44.168,-18.386,""
driven_sweep,0.25,180,180,3.39,-70,9.11,1.4587,42.047,-15.493,""
parasitic_sweep,0.25,90,180,3.67,-65,14.3,1.2336,48.942,-10.35,""
coordinated_sweep,0.25,180,180,3.39,-70,9.11,1.4587,42.047,-15.493,""
