spacing_frac,driven_radial_span,parasitic_radial_span,parasitic_detune,gain_max_dbi,gain_max_theta,front_to_back_db,swr_50,impedance_real,impedance_imag,warnings
0.15,20,180,-5,-0.35,-60,4.26,1.161,43.744,3.1101,""
0.15,20,180,-4,-0.38,-60,4.22,1.1848,42.939,3.4721,""
0.15,20,180,-3,-0.36,-60,4.26,1.2141,42.047,4.0174,""
0.15,20,180,-2,-0.26,-60,4.46,1.2497,41.094,4.8186,""
0.15,20,180,-1,-0.03,-60,4.91,1.2922,40.148,5.9619,""
0.15,20,180,0,0.37,-65,4.94,1.3406,39.344,7.5267,""
0.15,20,180,1,0.95,-65,6.32,1.3915,38.896,9.5331,""
0.15,20,180,2,1.62,-65,8.32,1.4375,39.072,11.862,""
0.15,20,180,3,2.26,-65,11.04,1.4691,40.073,14.198,""
0.15,20,180,4,2.75,-65,14.68,1.4797,41.862,16.103,""
0.15,20,180,5,3.04,-65,19.68,1.4703,44.121,17.243,""
0.15,20,180,6,3.17,-65,25.94,1.4477,46.414,17.561,""
0.15,20,180,7,3.19,-65,24.38,1.4192,48.417,17.24,""
0.15,20,180,8,3.13,-65,20.04,1.39,50,16.541,""
0.15,20,180,9,3.04,-65,17.28,1.3629,51.17,15.679,""
0.15,20,180,10,2.94,-65,15.46,1.3387,52,14.792,""
0.15,20,180,11,2.84,-65,14.17,1.3176,52.572,13.951,""
0.15,20,180,12,2.74,-65,13.12,1.2994,52.956,13.187,""
0.15,20,180,13,2.65,-65,12.38,1.2836,53.208,12.507,""
0.15,20,180,14,2.57,-65,11.86,1.27,53.367,11.909,""
0.15,20,180,15,2.49,-65,11.31,1.2582,53.461,11.385,""
0.15,30,180,-5,-0.4,-60,4.02,1.1576,43.254,-0.95,""
0.15,30,180,-4,-0.43,-60,3.97,1.1787,42.439,-0.5846,""
0.15,30,180,-3,-0.42,-60,4.01,1.2037,41.537,-0.034,""
0.15,30,180,-2,-0.32,-60,4.2,1.2332,40.573,0.7753,""
0.15,30,180,-1,-0.09,-65,3.83,1.2671,39.617,1.9306,""
0.15,30,180,0,0.32,-65,4.69,1.3043,38.802,3.5119,""
0.15,30,180,1,0.9,-65,6.06,1.3412,38.348,5.54,""
0.15,30,180,2,1.59,-65,8.06,1.3717,38.525,7.8946,""
0.15,30,180,3,2.23,-65,10.76,1.3883,39.536,10.256,""
0.15,30,180,4,2.73,-65,14.35,1.3872,41.343,12.184,""
0.15,30,180,5,3.03,-65,19.22,1.3705,43.626,13.337,""
0.15,30,180,6,3.16,-65,25.12,1.3448,45.944,13.66,""
0.15,30,180,7,3.17,-65,24.05,1.316,47.969,13.336,""
0.15,30,180,8,3.12,-65,19.92,1.2881,49.569,12.63,""
0.15,30,180,9,3.03,-65,17.19,1.2629,50.753,11.76,""
0.15,30,180,10,2.93,-65,15.36,1.2408,51.592,10.864,""
0.15,30,180,11,2.83,-65,14.07,1.2218,52.171,10.014,""
0.15,30,180,12,2.73,-65,13.1,1.2054,52.56,9.2415,""
0.15,30,180,13,2.64,-65,12.35,1.1913,52.815,8.5546,""
0.15,30,180,14,2.55,-65,11.68,1.1791,52.976,7.9502,""
0.15,30,180,15,2.48,-65,11.26,1.1685,53.071,7.4205,""
0.15,40,180,-5,-0.42,-60,3.72,1.2226,42.252,-5.0601,""
0.15,40,180,-4,-0.45,-60,3.67,1.2391,41.426,-4.6933,""
0.15,40,180,-3,-0.44,-60,3.69,1.2581,40.509,-4.1392,""
0.15,40,180,-2,-0.34,-60,3.88,1.2795,39.53,-3.3233,""
0.15,40,180,-1,-0.11,-65,3.53,1.3027,38.556,-2.1569,""
0.15,40,180,0,0.31,-65,4.38,1.3258,37.725,-0.5583,""
0.15,40,180,1,0.9,-65,5.75,1.3447,37.257,1.4945,""
0.15,40,180,2,1.6,-65,7.73,1.3539,37.427,3.8804,""
0.15,40,180,3,2.25,-65,10.41,1.3484,38.441,6.2772,""
0.15,40,180,4,2.75,-65,13.94,1.3274,40.265,8.2368,""
0.15,40,180,5,3.06,-65,18.65,1.2959,42.572,9.4146,""
0.15,40,180,6,3.18,-65,24.16,1.2604,44.92,9.7502,""
0.15,40,180,7,3.2,-65,23.61,1.2263,46.973,9.4305,""
0.15,40,180,8,3.14,-65,19.74,1.196,48.597,8.7217,""
0.15,40,180,9,3.05,-65,17.05,1.1701,49.799,7.8446,""
0.15,40,180,10,2.95,-65,15.23,1.1484,50.653,6.9399,""
0.15,40,180,11,2.85,-65,13.94,1.1304,51.242,6.0813,""
0.15,40,180,12,2.75,-65,12.96,1.1153,51.64,5.3004,""
0.15,40,180,13,2.66,-65,12.21,1.1027,51.901,4.6055,""
0.15,40,180,14,2.58,-65,11.61,1.0921,52.067,3.9938,""
0.15,40,180,15,2.5,-65,11.12,1.0831,52.165,3.4575,""
0.15,50,180,-5,-0.42,-65,2.56,1.3229,40.973,-8.9408,""
0.15,50,180,-4,-0.46,-65,2.5,1.3375,40.131,-8.574,""
0.15,50,180,-3,-0.45,-65,2.53,1.3535,39.197,-8.0176,""
0.15,50,180,-2,-0.35,-65,2.72,1.3703,38.197,-7.1959,""
0.15,50,180,-1,-0.11,-65,3.18,1.3861,37.201,-6.0182,""
0.15,50,180,0,0.32,-65,4.03,1.3979,36.346,-4.4007,""
0.15,50,180,1,0.93,-65,5.39,1.4005,35.858,-2.3196,""
0.15,50,180,2,1.64,-65,7.36,1.3884,36.014,0.1041,""
0.15,50,180,3,2.3,-65,10.01,1.358,37.028,2.5442,""
0.15,50,180,4,2.81,-65,13.48,1.3125,38.867,4.5459,""
0.15,50,180,5,3.11,-65,18.01,1.26,41.203,5.7569,""
0.15,50,180,6,3.24,-65,23.15,1.2087,43.584,6.113,""
0.15,50,180,7,3.25,-65,23.05,1.1634,45.671,5.8018,""
0.15,50,180,8,3.19,-65,19.5,1.1255,47.324,5.0927,""
0.15,50,180,9,3.1,-65,16.87,1.0945,48.551,4.21,""
0.15,50,180,10,3,-65,15.07,1.0696,49.424,3.297,""
0.15,50,180,11,2.9,-65,13.78,1.0498,50.028,2.429,""
0.15,50,180,12,2.8,-65,12.81,1.0343,50.437,1.6387,""
0.15,50,180,13,2.71,-65,12.05,1.0236,50.707,0.9349,""
0.15,50,180,14,2.62,-65,11.44,1.0187,50.879,0.3148,""
0.15,50,180,15,2.54,-65,10.89,1.0202,50.982,-0.2291,""
0.15,60,180,-5,-0.41,-65,2.22,1.4395,39.55,-12.498,""
0.15,60,180,-4,-0.45,-65,2.15,1.4549,38.69,-12.132,""
0.15,60,180,-3,-0.45,-65,2.16,1.4709,37.735,-11.575,""
0.15,60,180,-2,-0.35,-65,2.34,1.4864,36.71,-10.748,""
0.15,60,180,-1,-0.1,-65,2.79,1.4989,35.686,-9.5582,""
0.15,60,180,0,0.33,-65,3.62,1.5038,34.802,-7.92,""
0.15,60,180,1,0.96,-65,4.98,1.4947,34.286,-5.8066,""
0.15,60,180,2,1.69,-65,6.94,1.4647,34.424,-3.3388,""
0.15,60,180,3,2.37,-65,9.57,1.4119,35.434,-0.8464,""
0.15,60,180,4,2.88,-65,12.97,1.3427,37.288,1.207,""
0.15,60,180,5,3.18,-65,17.32,1.269,39.654,2.4601,""
0.15,60,180,6,3.31,-65,22.09,1.2012,42.074,2.8436,""
0.15,60,180,7,3.31,-65,22.36,1.1441,44.201,2.5453,""
0.15,60,180,8,3.25,-65,19.18,1.0985,45.889,1.8382,""
0.15,60,180,9,3.16,-65,16.64,1.0639,47.146,0.9508,""
0.15,60,180,10,3.06,-65,14.87,1.0408,48.042,0.0293,""
0.15,60,180,11,2.95,-65,13.57,1.0326,48.665,-0.8487,""
0.15,60,180,12,2.85,-65,12.6,1.0388,49.089,-1.6494,""
0.15,60,180,13,2.76,-65,11.85,1.0505,49.37,-2.3633,""
0.15,60,180,14,2.67,-65,11.24,1.0627,49.55,-2.9929,""
0.15,60,180,15,2.6,-65,10.75,1.0741,49.661,-3.5456,""
0.15,70,180,-5,-0.4,-65,1.84,1.5658,38.07,-15.711,""
0.15,70,180,-4,-0.45,-65,1.75,1.5834,37.189,-15.348,""
0.15,70,180,-3,-0.45,-65,1.75,1.6014,36.209,-14.79,""
0.15,70,180,-2,-0.35,-65,1.91,1.6183,35.154,-13.958,""
0.15,70,180,-1,-0.1,-65,2.34,1.6305,34.096,-12.756,""
0.15,70,180,0,0.35,-65,3.17,1.6322,33.176,-11.095,""
0.15,70,180,1,0.99,-65,4.52,1.6148,32.626,-8.9456,""
0.15,70,180,2,1.74,-65,6.48,1.5705,32.74,-6.4269,""
0.15,70,180,3,2.44,-65,9.09,1.498,33.743,-3.8734,""
0.15,70,180,4,2.96,-65,12.43,1.4076,35.611,-1.7582,""
0.15,70,180,5,3.26,-65,16.6,1.3157,38.011,-0.4538,""
0.15,70,180,6,3.38,-65,21.01,1.2353,40.475,-0.0359,""
0.15,70,180,7,3.38,-65,21.56,1.1726,42.648,-0.3166,""
0.15,70,180,8,3.32,-65,18.78,1.1288,44.379,-1.0192,""
0.15,70,180,9,3.22,-65,16.35,1.1041,45.67,-1.9106,""
0.15,70,180,10,3.12,-65,14.61,1.0962,46.595,-2.8408,""
0.15,70,180,11,3.01,-65,13.33,1.1001,47.24,-3.7295,""
0.15,70,180,12,2.91,-65,12.37,1.11,47.681,-4.5416,""
0.15,70,180,13,2.81,-65,11.61,1.122,47.976,-5.2668,""
0.15,70,180,14,2.73,-65,11.01,1.1342,48.168,-5.9071,""
0.15,70,180,15,2.65,-65,10.51,1.1458,48.287,-6.4697,""
0.175,20,180,-5,0.11,-65,3.82,1.1624,44.604,4.6368,""
0.175,20,180,-4,0.16,-65,3.89,1.1836,43.974,5.1265,""
0.175,20,180,-3,0.26,-65,4.05,1.2092,43.307,5.7965,""
0.175,20,180,-2,0.45,-65,4.39,1.2401,42.642,6.7054,""
0.175,20,180,-1,0.74,-65,4.96,1.2762,42.057,7.9148,""
0.175,20,180,0,1.16,-65,5.87,1.3166,41.688,9.4658,""
0.175,20,180,1,1.69,-65,7.24,1.3578,41.73,11.329,""
0.175,20,180,2,2.25,-65,9.13,1.3938,42.395,13.341,""
0.175,20,180,3,2.74,-65,11.66,1.4172,43.788,15.177,""
0.175,20,180,4,3.09,-65,14.97,1.4237,45.782,16.459,""
0.175,20,180,5,3.28,-65,19.22,1.4145,48.02,16.963,""
0.175,20,180,6,3.33,-65,23.34,1.3949,50.105,16.735,""
0.175,20,180,7,3.29,-65,22.55,1.3706,51.794,16.01,""
0.175,20,180,8,3.2,-65,19.44,1.3458,53.029,15.048,""
0.175,20,180,9,3.09,-65,17.05,1.3226,53.867,14.034,""
0.175,20,180,10,2.97,-65,15.35,1.3018,54.401,13.073,""
0.175,20,180,11,2.85,-65,14,1.2835,54.719,12.21,""
0.175,20,180,12,2.74,-65,13.06,1.2677,54.89,11.454,""
0.175,20,180,13,2.65,-65,12.41,1.2539,54.964,10.802,""
0.175,20,180,14,2.56,-65,11.82,1.242,54.974,10.242,""
0.175,20,180,15,2.47,-65,11.26,1.2317,54.943,9.7603,""
0.175,30,180,-5,0.07,-65,3.62,1.1339,44.124,0.5969,""
0.175,30,180,-4,0.11,-65,3.67,1.152,43.488,1.0918,""
0.175,30,180,-3,0.21,-65,3.83,1.1733,42.813,1.769,""
0.175,30,180,-2,0.4,-65,4.16,1.1981,42.141,2.6877,""
0.175,30,180,-1,0.7,-65,4.74,1.2262,41.549,3.9101,""
0.175,30,180,0,1.13,-65,5.65,1.2566,41.176,5.4778,""
0.175,30,180,1,1.66,-65,7.01,1.2863,41.219,7.3613,""
0.175,30,180,2,2.22,-65,8.89,1.3104,41.891,9.3946,""
0.175,30,180,3,2.72,-65,11.4,1.3238,43.3,11.25,""
0.175,30,180,4,3.08,-65,14.67,1.3237,45.315,12.546,""
0.175,30,180,5,3.27,-65,18.8,1.3118,47.577,13.055,""
0.175,30,180,6,3.32,-65,22.76,1.2926,49.684,12.825,""
0.175,30,180,7,3.28,-65,22.21,1.2707,51.391,12.093,""
0.175,30,180,8,3.19,-65,19.28,1.249,52.639,11.12,""
0.175,30,180,9,3.07,-65,16.92,1.2289,53.486,10.095,""
0.175,30,180,10,2.96,-65,15.23,1.2112,54.026,9.1237,""
0.175,30,180,11,2.84,-65,13.99,1.1956,54.348,8.2507,""
0.175,30,180,12,2.73,-65,13.04,1.1821,54.521,7.4872,""
0.175,30,180,13,2.63,-65,12.22,1.1704,54.595,6.828,""
0.175,30,180,14,2.54,-65,11.63,1.1602,54.605,6.2616,""
0.175,30,180,15,2.46,-65,11.15,1.1513,54.574,5.7751,""
0.175,40,180,-5,0.06,-65,3.37,1.1802,43.13,-3.4847,""
0.175,40,180,-4,0.11,-65,3.43,1.1915,42.484,-2.9857,""
0.175,40,180,-3,0.21,-65,3.58,1.2045,41.799,-2.3022,""
0.175,40,180,-2,0.4,-65,3.9,1.219,41.114,-1.3741,""
0.175,40,180,-1,0.7,-65,4.47,1.2342,40.512,-0.1382,""
0.175,40,180,0,1.13,-65,5.37,1.2489,40.129,1.4481,""
0.175,40,180,1,1.67,-65,6.72,1.2603,40.166,3.3558,""
0.175,40,180,2,2.24,-65,8.6,1.2649,40.839,5.4171,""
0.175,40,180,3,2.74,-65,11.08,1.2598,42.26,7.3011,""
0.175,40,180,4,3.1,-65,14.28,1.2451,44.297,8.6199,""
0.175,40,180,5,3.29,-65,18.28,1.2237,46.586,9.1425,""
0.175,40,180,6,3.34,-65,22.07,1.1999,48.721,8.9161,""
0.175,40,180,7,3.3,-65,21.77,1.177,50.452,8.1801,""
0.175,40,180,8,3.21,-65,19.05,1.1565,51.719,7.1989,""
0.175,40,180,9,3.1,-65,16.76,1.1391,52.58,6.164,""
0.175,40,180,10,2.98,-65,15.08,1.1246,53.13,5.1821,""
0.175,40,180,11,2.86,-65,13.75,1.1126,53.459,4.2991,""
0.175,40,180,12,2.76,-65,12.9,1.1027,53.636,3.5264,""
0.175,40,180,13,2.66,-65,12.16,1.0946,53.714,2.859,""
0.175,40,180,14,2.57,-65,11.56,1.088,53.726,2.2854,""
0.175,40,180,15,2.49,-65,11.07,1.0825,53.696,1.7926,""
0.175,50,180,-5,0.08,-65,3.09,1.2699,41.856,-7.3291,""
0.175,50,180,-4,0.12,-65,3.13,1.2774,41.197,-6.8266,""
0.175,50,180,-3,0.22,-65,3.28,1.2849,40.498,-6.137,""
0.175,50,180,-2,0.41,-65,3.59,1.2917,39.798,-5.1993,""
0.175,50,180,-1,0.71,-65,4.14,1.2963,39.179,-3.9486,""
0.175,50,180,0,1.15,-65,5.05,1.2963,38.781,-2.3411,""
0.175,50,180,1,1.7,-65,6.39,1.2886,38.808,-0.405,""
0.175,50,180,2,2.28,-65,8.25,1.2703,39.479,1.6908,""
0.175,50,180,3,2.79,-65,10.71,1.2409,40.91,3.611,""
0.175,50,180,4,3.15,-65,13.85,1.2037,42.97,4.961,""
0.175,50,180,5,3.34,-65,17.7,1.1643,45.29,5.5044,""
0.175,50,180,6,3.39,-65,21.31,1.1279,47.458,5.2869,""
0.175,50,180,7,3.35,-65,21.25,1.0975,49.219,4.5499,""
0.175,50,180,8,3.26,-65,18.76,1.0742,50.511,3.5613,""
0.175,50,180,9,3.15,-65,16.55,1.0583,51.39,2.5159,""
0.175,50,180,10,3.03,-65,14.9,1.0498,51.954,1.5226,""
0.175,50,180,11,2.91,-65,13.67,1.0476,52.293,0.6284,""
0.175,50,180,12,2.8,-65,12.73,1.0497,52.478,-0.1548,""
0.175,50,180,13,2.7,-65,11.98,1.0539,52.561,-0.8317,""
0.175,50,180,14,2.61,-65,11.39,1.059,52.576,-1.4138,""
0.175,50,180,15,2.53,-65,10.9,1.0642,52.549,-1.9142,""
0.175,60,180,-5,0.09,-65,2.76,1.3773,40.437,-10.842,""
0.175,60,180,-4,0.13,-65,2.79,1.3838,39.762,-10.337,""
0.175,60,180,-3,0.24,-65,2.94,1.3893,39.046,-9.6411,""
0.175,60,180,-2,0.43,-65,3.24,1.3923,38.327,-8.6932,""
0.175,60,180,-1,0.74,-65,3.79,1.3906,37.687,-7.4263,""
0.175,60,180,0,1.18,-65,4.68,1.3807,37.27,-5.7946,""
0.175,60,180,1,1.74,-65,6.01,1.3586,37.281,-3.8254,""
0.175,60,180,2,2.34,-65,7.87,1.3211,37.948,-1.6885,""
0.175,60,180,3,2.85,-65,10.3,1.2695,39.388,0.2757,""
0.175,60,180,4,3.22,-65,13.38,1.2099,41.472,1.6651,""
0.175,60,180,5,3.41,-65,17.09,1.1504,43.827,2.2362,""
0.175,60,180,6,3.46,-65,20.5,1.0973,46.034,2.0321,""
0.175,60,180,7,3.41,-65,20.64,1.053,47.831,1.2964,""
0.175,60,180,8,3.32,-65,18.41,1.0183,49.152,0.3012,""
0.175,60,180,9,3.2,-65,16.28,1.0152,50.055,-0.755,""
0.175,60,180,10,3.08,-65,14.67,1.0379,50.637,-1.7609,""
0.175,60,180,11,2.96,-65,13.45,1.058,50.988,-2.6677,""
0.175,60,180,12,2.85,-65,12.44,1.075,51.183,-3.4628,""
0.175,60,180,13,2.75,-65,11.71,1.0895,51.273,-4.1507,""
0.175,60,180,14,2.66,-65,11.12,1.1019,51.293,-4.7426,""
0.175,60,180,15,2.58,-65,10.69,1.1126,51.269,-5.2519,""
0.175,70,180,-5,0.11,-65,2.41,1.4938,38.958,-14.003,""
0.175,70,180,-4,0.15,-65,2.43,1.5009,38.266,-13.495,""
0.175,70,180,-3,0.25,-65,2.55,1.5062,37.529,-12.794,""
0.175,70,180,-2,0.44,-65,2.84,1.5079,36.786,-11.835,""
0.175,70,180,-1,0.76,-65,3.39,1.5029,36.122,-10.55,""
0.175,70,180,0,1.21,-65,4.27,1.4866,35.679,-8.8914,""
0.175,70,180,1,1.79,-65,5.61,1.4539,35.671,-6.8841,""
0.175,70,180,2,2.39,-65,7.45,1.4016,36.329,-4.6993,""
0.175,70,180,3,2.92,-65,9.85,1.3324,37.777,-2.6827,""
0.175,70,180,4,3.29,-65,12.87,1.2556,39.888,-1.2455,""
0.175,70,180,5,3.48,-65,16.43,1.1832,42.283,-0.6398,""
0.175,70,180,6,3.52,-65,19.64,1.1242,44.534,-0.8257,""
0.175,70,180,7,3.47,-65,19.95,1.0854,46.373,-1.5577,""
0.175,70,180,8,3.38,-65,17.98,1.0725,47.731,-2.5589,""
0.175,70,180,9,3.26,-65,15.97,1.0815,48.662,-3.6265,""
0.175,70,180,10,3.14,-65,14.4,1.0994,49.265,-4.646,""
0.175,70,180,11,3.02,-65,13.2,1.1184,49.632,-5.5669,""
0.175,70,180,12,2.91,-65,12.27,1.1362,49.839,-6.3754,""
0.175,70,180,13,2.81,-65,11.54,1.152,49.937,-7.0757,""
0.175,70,180,14,2.72,-65,10.94,1.1659,49.965,-7.679,""
0.175,70,180,15,2.64,-65,10.46,1.1781,49.945,-8.1984,""
0.2,20,180,-5,0.58,-65,4.35,1.1646,45.683,5.8731,""
0.2,20,180,-4,0.68,-65,4.48,1.1832,45.239,6.4423,""
0.2,20,180,-3,0.84,-65,4.73,1.2056,44.803,7.1785,""
0.2,20,180,-2,1.06,-65,5.12,1.2321,44.422,8.1246,""
0.2,20,180,-1,1.37,-65,5.73,1.2626,44.18,9.3171,""
0.2,20,180,0,1.77,-65,6.66,1.296,44.205,10.762,""
0.2,20,180,1,2.23,-65,7.97,1.3291,44.662,12.388,""
0.2,20,180,2,2.68,-65,9.75,1.357,45.701,14.004,""
0.2,20,180,3,3.06,-65,12.1,1.3741,47.342,15.298,""
0.2,20,180,4,3.3,-65,15.09,1.3774,49.383,15.968,""
0.2,20,180,5,3.4,-65,18.67,1.3682,51.458,15.9,""
0.2,20,180,6,3.39,-65,21.57,1.3506,53.233,15.225,""
0.2,20,180,7,3.31,-65,21.03,1.3293,54.547,14.207,""
0.2,20,180,8,3.19,-65,18.69,1.3076,55.409,13.084,""
0.2,20,180,9,3.05,-65,16.47,1.2872,55.913,12.007,""
0.2,20,180,10,2.92,-65,15.05,1.2689,56.164,11.045,""
0.2,20,180,11,2.79,-65,13.77,1.2528,56.248,10.217,""
0.2,20,180,12,2.68,-65,12.96,1.2387,56.228,9.5165,""
0.2,20,180,13,2.57,-65,12.16,1.2266,56.146,8.9284,""
0.2,20,180,14,2.48,-65,11.65,1.216,56.03,8.4349,""
0.2,20,180,15,2.39,-65,11.1,1.2068,55.895,8.0196,""
0.2,30,180,-5,0.55,-65,4.17,1.1138,45.217,1.8481,""
0.2,30,180,-4,0.64,-65,4.29,1.1295,44.768,2.4236,""
0.2,30,180,-3,0.8,-65,4.53,1.1478,44.328,3.1679,""
0.2,30,180,-2,1.02,-65,4.91,1.169,43.943,4.1242,""
0.2,30,180,-1,1.34,-65,5.53,1.1928,43.699,5.3295,""
0.2,30,180,0,1.74,-65,6.45,1.2183,43.724,6.7895,""
0.2,30,180,1,2.2,-65,7.76,1.2429,44.188,8.4332,""
0.2,30,180,2,2.66,-65,9.53,1.2631,45.238,10.066,""
0.2,30,180,3,3.04,-65,11.86,1.2749,46.897,11.373,""
0.2,30,180,4,3.28,-65,14.8,1.2761,48.96,12.05,""
0.2,30,180,5,3.39,-65,18.29,1.268,51.057,11.979,""
0.2,30,180,6,3.38,-65,21.12,1.2538,52.85,11.297,""
0.2,30,180,7,3.3,-65,20.71,1.2369,54.178,10.267,""
0.2,30,180,8,3.18,-65,18.5,1.2197,55.049,9.1318,""
0.2,30,180,9,3.04,-65,16.33,1.2035,55.558,8.0431,""
0.2,30,180,10,2.91,-65,14.93,1.1889,55.811,7.0708,""
0.2,30,180,11,2.78,-65,13.66,1.176,55.895,6.2338,""
0.2,30,180,12,2.67,-65,12.84,1.1647,55.875,5.5261,""
0.2,30,180,13,2.56,-65,12.04,1.1548,55.793,4.9317,""
0.2,30,180,14,2.47,-65,11.53,1.1461,55.674,4.433,""
0.2,30,180,15,2.38,-65,10.99,1.1385,55.538,4.0133,""
0.2,40,180,-5,0.55,-65,3.93,1.1402,44.234,-2.2111,""
0.2,40,180,-4,0.64,-65,4.05,1.1472,43.779,-1.6298,""
0.2,40,180,-3,0.8,-65,4.28,1.1553,43.331,-0.8775,""
0.2,40,180,-2,1.03,-65,4.67,1.1645,42.939,0.0896,""
0.2,40,180,-1,1.34,-65,5.28,1.1742,42.688,1.3092,""
0.2,40,180,0,1.75,-65,6.2,1.1838,42.71,2.7874,""
0.2,40,180,1,2.21,-65,7.49,1.1915,43.174,4.4529,""
0.2,40,180,2,2.68,-65,9.26,1.1953,44.234,6.1084,""
0.2,40,180,3,3.06,-65,11.55,1.1935,45.909,7.4368,""
0.2,40,180,4,3.31,-65,14.45,1.1861,47.996,8.1273,""
0.2,40,180,5,3.42,-65,17.84,1.1746,50.12,8.0618,""
0.2,40,180,6,3.41,-65,20.57,1.1613,51.937,7.3758,""
0.2,40,180,7,3.32,-65,20.32,1.1482,53.284,6.3369,""
0.2,40,180,8,3.2,-65,18.25,1.1364,54.169,5.19,""
0.2,40,180,9,3.07,-65,16.3,1.1262,54.687,4.0891,""
